"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature75"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.0319710575668272	0.274216179350768	0.909285813483597	NA	0.990158682521849	"abundance"	100	17	0.104667985997732	0.705715966196832
"Feature75"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.584446959018512	0.303041583455714	0.0537801449968049	NA	0.569813441037576	"prevalence"	100	17	0.104667985997732	0.705715966196832
"Feature3"	"Metadata_2"	"1"	"Metadata_21"	-0.128124533890233	0.278979059148374	0.648968816268644	NA	0.972610577484406	"abundance"	100	40	0.110559859771389	0.715190786354744
"Feature22"	"Metadata_1"	"1"	"Metadata_11"	1.03949203747836	0.652052592756558	0.110894751142646	NA	0.83600775905779	"prevalence"	100	14	0.110894751142646	0.715190786354744
"Feature3"	"Metadata_2"	"1"	"Metadata_21"	1.26420720391897	0.663943509326198	0.0568986585585773	NA	0.588834954850393	"prevalence"	100	40	0.110559859771389	0.715190786354744
"Feature94"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.867697926943354	0.542053736909453	0.109430091507918	NA	0.83600775905779	"prevalence"	100	4	0.109430091507918	0.715190786354744
"Feature15"	"Metadata_4"	"Metadata_4"	"Metadata_4"	1.21374736767425	0.594719816266553	0.0621099134187128	NA	0.580339503506098	"abundance"	100	19	0.120362185492546	0.743905174224761
"Feature25"	"Metadata_2"	"1"	"Metadata_21"	0.357526432962529	0.0344955366862815	0.0612340018223053	NA	0.580339503506098	"abundance"	100	7	0.118718400665436	0.743905174224761
"Feature75"	"Metadata_2"	"1"	"Metadata_21"	0.277385302464644	0.490153672039848	0.582811786903785	NA	0.951526956327702	"abundance"	100	17	0.119363273569392	0.743905174224761
"Feature15"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.0237547091214259	0.258061667378871	0.92665790556687	NA	0.999068586141785	"prevalence"	100	19	0.120362185492546	0.743905174224761
"Feature25"	"Metadata_2"	"1"	"Metadata_21"	0.212813163201782	0.687525601813107	0.75691467415265	NA	0.999068586141785	"prevalence"	100	7	0.118718400665436	0.743905174224761
"Feature75"	"Metadata_2"	"1"	"Metadata_21"	-1.0348662570925	0.553604077847649	0.0615775330744646	NA	0.616813038427329	"prevalence"	100	17	0.119363273569392	0.743905174224761
"Feature6"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.901880264688139	0.240642472618118	0.0643940570189098	NA	0.580949468245848	"abundance"	100	8	0.124641519458465	0.75688502129215
"Feature6"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.220512925786615	0.366595537890909	0.547496641200162	NA	0.999068586141785	"prevalence"	100	8	0.124641519458465	0.75688502129215
"Feature96"	"Metadata_2"	"1"	"Metadata_21"	-1.57223184362835	1.02718813971999	0.125864026012627	NA	0.875547370057719	"prevalence"	100	5	0.125864026012627	0.75688502129215
"Feature95"	"Metadata_1"	"1"	"Metadata_11"	-0.94821049508068	0.50267385957133	0.0667121632418449	NA	0.580949468245848	"abundance"	100	45	0.128973813759283	0.76524462830508
"Feature95"	"Metadata_1"	"1"	"Metadata_11"	0.405566309613386	0.4423936175783	0.359271335800524	NA	0.999068586141785	"prevalence"	100	45	0.128973813759283	0.76524462830508
